TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.804,0,0,0,0,5e-4,0.9565,0
100,0.817,0,0,0,0,5e-4,0.9585,0
200,0.8295,0.9805,0,0,0,5e-4,0.959,0
300,0.838,1,0,0,0,5e-4,0.96,0
400,0.8505,1,0,0,0,5e-4,0.963,0
500,0.8595,1,0,0,0,0.001,0.9635,0
600,0.867,1,0,0,0,0.0015,0.9645,0
700,0.874,1,0,0,0,0.002,0.966,0.006
800,0.881,1,0,0,0,0.0025,0.966,0.046
900,0.8885,1,0,0,0,0.0035,0.967,0.1675
1000,0.893,1,0,0,0.001,0.0035,0.969,0.381
1100,0.9,1,0,0,0.0035,0.0045,0.97,0.616
1200,0.903,1,0,0,0.004,0.0055,0.971,0.777
1300,0.914,1,0,0,0.0045,0.0055,0.972,0.879
1400,0.918,1,0,0,0.006,0.0055,0.9725,0.9465
1500,0.9225,1,0,0,0.007,0.0075,0.9725,0.9705
